,names,scores,logfoldchanges,pvals,pvals_adj,effect_size,significance
9161,ANKRD24,-0.036971793,0.3938888,0.9705074962003577,0.9996419556685904,,Not Significant
9162,SLC29A4,-0.036971793,0.35394728,0.9705074962003577,0.9996419556685904,,Not Significant
9163,DLK2,-0.036971793,0.39213768,0.9705074962003577,0.9996419556685904,,Not Significant
9164,AC123912.1,-0.036971793,0.36755645,0.9705074962003577,0.9996419556685904,,Not Significant
9165,AC141586.3,-0.036971793,0.36742032,0.9705074962003577,0.9996419556685904,,Not Significant
9166,SH3BP4,-0.036971793,0.42659882,0.9705074962003577,0.9996419556685904,,Not Significant
9167,LINC02449,-0.036971793,0.36513457,0.9705074962003577,0.9996419556685904,,Not Significant
9168,TKTL2,-0.036971793,0.35605487,0.9705074962003577,0.9996419556685904,,Not Significant
9169,AC011451.1,-0.036971793,0.34638163,0.9705074962003577,0.9996419556685904,,Not Significant
9170,HTRA4,-0.036971793,0.36392078,0.9705074962003577,0.9996419556685904,,Not Significant
9171,TTK,-0.036971793,0.35887194,0.9705074962003577,0.9996419556685904,,Not Significant
9172,AL133367.1,-0.036971793,0.36753953,0.9705074962003577,0.9996419556685904,,Not Significant
9173,AC126773.4,-0.036971793,0.35204875,0.9705074962003577,0.9996419556685904,,Not Significant
9174,NPM2,-0.036971793,0.34482816,0.9705074962003577,0.9996419556685904,,Not Significant
9175,AC006504.1,-0.036971793,0.3590152,0.9705074962003577,0.9996419556685904,,Not Significant
9176,AC091982.3,-0.036971793,0.34868732,0.9705074962003577,0.9996419556685904,,Not Significant
9177,DOK4,-0.036971793,0.34551635,0.9705074962003577,0.9996419556685904,,Not Significant
9178,PCDH11X,-0.036971793,0.35215014,0.9705074962003577,0.9996419556685904,,Not Significant
9179,DNAI2,-0.036971793,0.34956515,0.9705074962003577,0.9996419556685904,,Not Significant
9180,LINC02325,-0.036971793,0.3575512,0.9705074962003577,0.9996419556685904,,Not Significant
9181,AL117381.1,-0.036971793,0.35144547,0.9705074962003577,0.9996419556685904,,Not Significant
9182,GPC4,-0.036971793,0.36462614,0.9705074962003577,0.9996419556685904,,Not Significant
9183,DEPDC1B,-0.036989845,0.4167039,0.9704931021288201,0.9996419556685904,,Not Significant
9184,ILF3-DT,-0.03699887,,0.9704859050966554,0.9996419556685904,,Not Significant
9185,USP35,-0.037098162,0.3422522,0.9704067379016075,0.9996419556685904,,Not Significant
9186,AC024060.1,-0.03741408,1.9054358,0.9701548442248108,0.9996419556685904,,Not Significant
9187,CLCN5,-0.037892476,0.5473315,0.9697734109045942,0.9996419556685904,,Not Significant
